Temperature [K],Material,ZT,Major consitituing element,Abundance,Material family,Abundance [ppm]
307.2053029,BaAuGe,0.19,Ge,1.50E-06,Clathrates,1.5
356.8822139,BaAuGe,0.25,Ge,1.50E-06,Clathrates,1.5
406.5628332,BaAuGe,0.33,Ge,1.50E-06,Clathrates,1.5
301.6353776,DD-FeCoSbSn,0.41,Sb,2.00E-07,Skutterudites,0.2
335.71316,DD-FeCoSbSn,0.48,Sb,2.00E-07,Skutterudites,0.2
389.6676401,DD-FeCoSbSn,0.6,Sb,2.00E-07,Skutterudites,0.2
292.9337598,Cu(DCNQI)2,0.2,C,2.00E-04,Small molecules,200
293.1265934,PEDOT:TOS,0.41,C,2.00E-04,Polymers,200
304.7577991,PEDOT:PSS PANI Graphene CNTs,1.015,C,2.00E-04,Organic-composites,200
302.0099198,SiNWs,1.2039,Si,2.82E-01,Silicide,900
300.5785009,BiSbTe,1.176,Te,1.00E-09,Bi chalcogenides,0.001
324.7476012,BiSbTe,1.294,Te,1.00E-09,Bi chalcogenides,0.001
346.0612803,BiSbTe,1.372,Te,1.00E-09,Bi chalcogenides,0.001
374.4634497,BiSbTe,1.44,Te,1.00E-09,Bi chalcogenides,0.001