 sigma [S/cm],kappa [Wm/K]
9.67595627968603E-08,0.16451903864817000
0.00006210860794351610,0.07875321116629550
0.0012921519314802400,0.11989267568647600
0.004016140256721180,0.15619683735799500
0.04397825543016120,0.10276188845121900
0.038327533786148300,0.08962379402865780
0.13208516027662100,0.11017754181652100
0.1153123683439420,0.18842610035965100
1.1411510977367500,0.2405526060398470
61.35880877078340,0.13941428326768300
166.62538493586800,0.1499754524176510
240.35105639098900,0.020269452531826100