,sigma,Material,Seebeck,Family,power factor
0,3.3340137515991105e-07,PAc,688.0047251852516,PAc,1.5781570825850374e-05
1,8.482164578017072e-07,PAc,1395.919657598334,PAc,0.00016528275413918374
2,1.8174633581e-06,PAc,1251.2727637586377,PAc,0.00028455724449273834
3,3.2229902671e-06,PAc,1315.1000011248598,PAc,0.0005574123032831707
4,5.1941718129e-06,PAc,1348.775800441093,PAc,0.0009449217415657417
5,9.8431985332e-06,PAc,1189.025757378301,PAc,0.001391613938628664
6,1.55744620117e-05,PAc,759.6072883213623,PAc,0.0008986514924746653
7,3.7633019545e-05,PAc,1079.698178778457,PAc,0.004387062318661988
8,6.90337601951e-05,PAc,972.8305160831272,PAc,0.006533349632063102
9,6.59816936609e-05,PAc,701.0232431805207,PAc,0.0032425620423738614
10,9.82545416665e-05,PAc,943.2760614282342,PAc,0.008742391681961162
11,0.0001193500028116,PAc,692.168200026313,PAc,0.005718020647121555
12,0.0001588218130068,PAc,757.2166236894468,PAc,0.009106477708916462
13,0.0002640333896378,PAc,502.45943748707936,PAc,0.006665931811958093
14,0.0002952295342942,PAc,654.7228749520089,PAc,0.012655369532018703
15,0.0004403617804774,PAc,568.2730614202428,PAc,0.014220791114302593
16,0.0004539673253436,PAc,366.5426533093688,PAc,0.00609921066245686
17,0.0005746734313632,PAc,551.8333417359482,PAc,0.017499957461121353
18,0.0011464388012272,PAc,355.6761458073434,PAc,0.01450308374957653
19,0.0014558730642579,PAc,188.73953881333065,PAc,0.005186200348981688
20,0.0020576018629537,PAc,318.2267224773237,PAc,0.020836973347673718
21,0.0073750914170638,PAc,204.2252373902155,PAc,0.030759992627289342
22,0.0267713354051611,PAc,118.96413485933957,PAc,0.037888039757370394
23,0.1293098153267921,PAc,65.7421394220515,PAc,0.055888075835146454
24,0.428075948014982,PAc,53.00782815962855,PAc,0.120282057517316
25,0.5083230991792717,PAc,31.110016520825557,PAc,0.04919719350757327
26,0.5631368319715878,PAc,62.58238461302618,PAc,0.22055562982729432
27,0.6136683840290069,PAc,24.362566791808465,PAc,0.03642334560879705
28,1.3909875684296158,PAc,25.98031268232204,PAc,0.0938884125056376
29,1.5581979204450624,PAc,34.545754469655385,PAc,0.18595676586959614
30,1.7053706103139092,PAc,38.30332842490861,PAc,0.2502025910224331
31,2.206151555328148,PAc,21.05039529205072,PAc,0.09775879842121772
32,2.6231628465175536,PAc,37.83403535041584,PAc,0.3754832628464238
33,2.8387391586233925,PAc,41.505358804443645,PAc,0.489028121404406
34,6.223997549189204,PAc,19.5332979253136,PAc,0.2374764570964121
35,5.915837317393279,PAc,35.28090868653903,PAc,0.7363694237039123
36,6.025025126172788,PAc,56.14969729384951,PAc,1.8995629967309133
37,8.33454918537835,PAc,43.414108373839305,PAc,1.5708831668589534
38,9.347512821801494,PAc,19.652622027575884,PAc,0.3610248304650384
39,14.589809891419415,PAc,48.79977669649752,PAc,3.4744438892077993
40,21.52505516454791,PAc,26.006451995539557,PAc,1.4558159924400027
41,26.542704899294858,PAc,12.949668118482393,PAc,0.4451049817338102
42,32.65706130589344,PAc,14.851649274001415,PAc,0.7203216545792095
43,44.72304050229207,PAc,28.22075619958887,PAc,3.561792500863068
44,43.575597208510366,PAc,18.58982615207864,PAc,1.5058926188877655
45,72.90896009594987,PAc,30.01823177600374,PAc,6.569784391087045
46,91.54840645823752,PAc,14.320041631725946,PAc,1.8773245100812705
47,106.25188112386913,PAc,32.18814250737685,PAc,11.008507903375845
48,163.4533518755739,PAc,15.197656698935695,PAc,3.7752619494296953
49,177.28072365248218,PAc,17.811198475631517,PAc,5.62403224636433
50,326.62984705126826,PAc,14.361545715995948,PAc,6.736871095574631
51,388.0730098072793,PAc,8.903180347680909,PAc,3.076123591836467
52,434.7982418544994,PAc,14.176814980202662,PAc,8.738665632521942
53,853.9304577113415,PAc,9.259846079676946,PAc,7.322005311797439
54,896.0725682457061,PAc,15.45273276286521,PAc,21.397043540716044
55,1009.1079855384298,PAc,10.527160732958832,PAc,11.18304701929955
56,1968.3043827508443,PAc,10.89240002113507,PAc,23.3528249640008
57,2689.056295978536,PAc,9.45243286789377,PAc,24.026311183167458
235,10.3921748192199,O-PBTTT,158.52030152498352,polythiophene,26.11416978432639
236,151.83931932691846,O-PBTTT,71.06257572768793,polythiophene,76.6771810025103
237,4290.009302261727,O-PBTTT,29.748281145571728,polythiophene,379.6487623619235
238,66953.86562163437,O-PBTTT,17.791449619133793,polythiophene,2119.3287353055202
239,239593.44955132448,O-PBTTT,9.33619746065749,polythiophene,2088.4063125515786
417,0.0021156305614391,TFSI-PT,419.5201163480377,polythiophene,0.03723449027660415
418,0.0030250522227167,TFSI-PT,408.81597555919024,polythiophene,0.05055784961728988
419,0.0027529453479961,TFSI-PT,383.55060581109205,polythiophene,0.040498872813668804
420,0.0032703708351428,TFSI-PT,268.1764397159068,polythiophene,0.02352005011624932
421,0.0199518719485599,TFSI-PT,290.95650149715976,polythiophene,0.16890394020702137
422,0.0108409184825532,TFSI-PT,161.7511641114738,polythiophene,0.028363571041329673
423,0.0267596058100921,TFSI-PT,175.62319894369102,polythiophene,0.08253601160735001
424,0.0759414204623517,TFSI-PT,236.90781528547024,polythiophene,0.4262235988810834
425,0.1014503626233631,TFSI-PT,184.62548181113613,polythiophene,0.3458094738359826
426,0.0630748163945685,TFSI-PT,173.27030908252092,polythiophene,0.18936699832900838
427,0.0463468550573042,TFSI-PT,158.48952861870532,polythiophene,0.11641834395029019
428,0.054938023985533,TFSI-PT,127.53390614221372,polythiophene,0.08935613133688476
429,0.0947465334678927,TFSI-PT,151.46931836922906,polythiophene,0.2173765397597794
430,0.1326538323675221,TFSI-PT,123.43474937533414,polythiophene,0.20211320104000385
431,0.1299179884398552,TFSI-PT,101.91244432896715,polythiophene,0.1349347236120926
432,0.7369352633196018,TFSI-PT,120.91938612707544,polythiophene,1.0775097435534868
433,1.6513226968950352,TFSI-PT,144.5021269053647,polythiophene,3.448104577716542
434,2.053102041051709,TFSI-PT,115.53355971675715,polythiophene,2.7404813067262013
435,1.191536922805451,TFSI-PT,91.84245771253444,polythiophene,1.0050658076817196
436,3.007281360332186,TFSI-PT,110.44669744890504,polythiophene,3.668424040936057
437,4.617939755330801,TFSI-PT,108.3118429999318,polythiophene,5.417515397495956
438,3.32950431654152,TFSI-PT,72.44974988668328,polythiophene,1.7476455815532543
439,9.508005800577791,TFSI-PT,65.35440383447278,polythiophene,4.061057631553514
440,12.054776261458205,TFSI-PT,68.76706452110157,polythiophene,5.70059419189085
441,10.230294884918486,TFSI-PT,58.252925836821376,polythiophene,3.471551712374439
442,51.56695905091346,TFSI-PT,64.84699850246918,polythiophene,21.684593229015718
443,33.677913187150814,TFSI-PT,54.94419328555757,polythiophene,10.166905237199853
444,38.06029221965674,TFSI-PT,44.49775103161088,polythiophene,7.536127578140549
445,27.935925888856303,TFSI-PT,43.6644561646669,polythiophene,5.326220977833824
446,85.36149142904263,TFSI-PT,50.2054332632766,polythiophene,21.516094004299006
447,108.49443068353972,TFSI-PT,45.03055763107929,polythiophene,21.99997033937128
448,159.04323762209015,TFSI-PT,40.90347610985033,polythiophene,26.60943435227531
449,256.3146351475877,TFSI-PT,38.35734075329184,polythiophene,37.71120291126682
450,46.2025853999425,TFSI-PT,35.80589582337468,polythiophene,5.9234587161478816
451,77.9838826023859,TFSI-PT,36.71648163189677,polythiophene,10.51300739630811
452,74.47500372224658,TFSI-PT,33.150867321932985,polythiophene,8.184653990320177
453,119.83405621889516,TFSI-PT,34.43234040710789,polythiophene,14.207358727471208
454,184.01552297542747,TFSI-PT,33.76678827377517,polythiophene,20.981376145431707
455,175.5269423508422,TFSI-PT,32.91630841051606,polythiophene,19.01805211593249
456,145.18235346868758,TFSI-PT,31.48199484272363,polythiophene,14.389255333554516
457,202.9265186307012,TFSI-PT,28.59778175368668,polythiophene,16.596002811238744
458,92.65039910724914,TFSI-PT,25.50850727469985,polythiophene,6.028612704715212
459,117.73529775478846,TFSI-PT,23.173390097594027,polythiophene,6.322456232042919
460,135.69623337914294,TFSI-PT,24.541640244050303,polythiophene,8.172877016033244
461,235.44142614170025,TFSI-PT,19.741992351667875,polythiophene,9.176241576181116
462,208.6624991412452,TFSI-PT,22.0085456189048,polythiophene,10.107112343116963
463,313.4070123763495,TFSI-PT,19.362695960028496,polythiophene,11.750067502104443
464,299.48326941602727,TFSI-PT,16.825031955721354,polythiophene,8.47782331209997
465,186.19797646056935,TFSI-PT,15.790228188941606,polythiophene,4.642498469366765
466,127.33357390148473,TFSI-PT,14.81789425051636,polythiophene,2.795863155069446
467,280.05393102545014,TFSI-PT,12.703618271424348,polythiophene,4.519564030438159
645,1.90890334066e-05,F4TCNQ-PT,1263.4830643593173,polythiophene,0.0030473531615876465
646,3.73638346376e-05,F4TCNQ-PT,923.4308423952848,polythiophene,0.003186105798237076
647,5.21110432164e-05,F4TCNQ-PT,965.38738599235,polythiophene,0.004856607511959162
648,0.0002718144977586,F4TCNQ-PT,549.5399300955365,polythiophene,0.008208638406838938
649,0.0005280437263623,F4TCNQ-PT,652.6122690697166,polythiophene,0.022489528771388035
650,0.0006711434220349,F4TCNQ-PT,585.3449015963215,polythiophene,0.02299529672151923
651,0.0010288641596475,F4TCNQ-PT,639.8709399983785,polythiophene,0.04212528118599316
652,0.0049679932694918,F4TCNQ-PT,527.6009534797032,polythiophene,0.13829043485249737
653,0.0049862389396897,F4TCNQ-PT,416.5518024016031,polythiophene,0.08651892644797547
654,0.0066472858726444,F4TCNQ-PT,371.2226366552024,polythiophene,0.09160375119669019
655,0.0104348310804723,F4TCNQ-PT,408.3949404858919,polythiophene,0.17403881965855028
656,0.014609720084392,F4TCNQ-PT,332.8075128861966,polythiophene,0.1618184877967327
657,0.0320273252236856,F4TCNQ-PT,352.2692833638058,polythiophene,0.3974387622742385
658,0.0371002020439625,F4TCNQ-PT,269.3498774718896,polythiophene,0.26915957840913873
659,0.0006144758848999,F4TCNQ-PT,371.9589719574091,polythiophene,0.00850148750977093
660,0.0178232756712263,F4TCNQ-PT,194.58598538376236,polythiophene,0.06748552647637655
661,0.0237394979609067,F4TCNQ-PT,183.67186644567283,polythiophene,0.08008603799243472
662,0.0839950982072238,F4TCNQ-PT,165.65446766098268,polythiophene,0.23049433110383508
663,0.1681025767519783,F4TCNQ-PT,134.09508894116112,polythiophene,0.30227352866623297
664,0.2348698257338531,F4TCNQ-PT,124.96224542440795,polythiophene,0.36676245092292886
665,0.3127080878932431,F4TCNQ-PT,121.00567685964124,polythiophene,0.45787887233040575
666,0.2526619717830526,F4TCNQ-PT,112.8157222577708,polythiophene,0.3215726742703506
667,0.3062588168233757,F4TCNQ-PT,99.90690926870764,polythiophene,0.30568888507926506
668,0.4697279993637673,F4TCNQ-PT,105.7806584970534,polythiophene,0.5256043860576171
669,3.1834762540102566,F4TCNQ-PT,60.58752288043,polythiophene,1.1686057213374967
670,2.133847153980044,F4TCNQ-PT,44.60457162795005,polythiophene,0.4245433609259778
671,20.876451597009797,F4TCNQ-PT,62.45585197429832,polythiophene,8.14334729748213
672,33.62789884479834,F4TCNQ-PT,60.46878117654301,polythiophene,12.295952088501657
673,24.699712008150826,F4TCNQ-PT,56.74184880882691,polythiophene,7.952411670489086
674,26.5707947751649,F4TCNQ-PT,51.22645350896285,polythiophene,6.972573886292728
675,491.5441271837981,F4TCNQ-PT,22.56198864400081,polythiophene,25.021726011630204
676,655.9399402088491,F4TCNQ-PT,18.862671448664145,polythiophene,23.338367616607897
854,1820.3009598402705,PEDOT,14.36888440198881,polythiophene,37.58281445279997
855,1280.555978373528,PEDOT,15.708446905004704,polythiophene,31.598397994688074
856,1005.510557388788,PEDOT,16.2558728875197,polythiophene,26.570958687945925
857,862.1063801916083,PEDOT,16.822743599505785,polythiophene,24.398015940353012
858,142.1492688005946,PEDOT,24.3588166160717,polythiophene,8.434454539827785
859,106.81681348633384,PEDOT,22.58595584318549,polythiophene,5.448996985067884
860,139.05867619544432,PEDOT,20.10001069775354,polythiophene,5.618115557187829
861,116.63416261521034,PEDOT,18.00890486647278,polythiophene,3.7826867955219265
862,36.37970629506164,PEDOT,20.093317376193884,polythiophene,1.4687993666861021
863,151.83931932691846,PEDOT,11.293620634681847,polythiophene,1.9366477634332193
864,1.0110514810203155,PEDOT,81.9772698904967,polythiophene,0.6794541745764475
865,2.134792206201006,PEDOT,45.75313615266284,polythiophene,0.4468866128723224
866,2.382803917778109,PEDOT,43.0137286350564,polythiophene,0.4408618180575934
867,3.034591511526812,PEDOT,43.61083742832032,polythiophene,0.5771505197212856
868,4.607703095454776,PEDOT,39.07954193140011,polythiophene,0.7036932997825686
869,9.517443041488631,PEDOT,33.15069917716743,polythiophene,1.045937349073176
870,11.100589993819918,PEDOT,29.90886290632257,polythiophene,0.9929922664995177
871,22.928828269624574,PEDOT,30.32769503022834,polythiophene,2.108922741708483
872,0.0941341090948601,PEDOT,63.993346990796816,polythiophene,0.038549315180711086
873,35.58874301961364,PEDOT,14.159155466410878,polythiophene,0.7134891115003722
874,230.55178893662008,PEDOT,12.264384556551263,polythiophene,3.4678476970558534
875,251.74140628621024,PEDOT,12.868254040764734,polythiophene,4.168635339808756
876,300.1421360329165,PEDOT,13.97352920540877,polythiophene,5.860560894966585
877,257.33638352865705,PEDOT,23.865928273426093,polythiophene,14.657430899664005
878,342.4571241218303,PEDOT,22.748081494195493,polythiophene,17.72130727916654
879,426.6498517332767,PEDOT,21.682237944250453,polythiophene,20.057639034189304
880,881.2667783513625,PEDOT,17.291063301086208,polythiophene,26.348190816600145
881,941.3410909486016,PEDOT,15.177383979501233,polythiophene,21.684072969599175
882,1780.7241914678484,PEDOT,19.702869121853418,polythiophene,69.12825652443203
883,1820.3009598402705,PEDOT,17.7755257483782,polythiophene,57.51592485236494
884,1902.1128383062376,PEDOT,16.59666920162121,polythiophene,52.3935894421432
