s_fit_1493,r_fit_1493,s_fit_1417,r_fit_1417,s_1493,r_1493,s_1417,r_1417
5.32E-05,0.868402467,4.94E-05,0.91974623,4.09E-05,0.823856912,3.95E-05,0.885968994
6.42E-05,0.868402467,5.96E-05,0.91974623,0.014775846,1.082416508,0.014775846,1.015008047
7.75E-05,0.871254898,7.19E-05,0.922598661,1.040488715,1.237937456,1.040488715,1.13923221
9.35E-05,0.87410733,8.67E-05,0.922598661,6.113692418,1.444496239,6.330489132,1.279345511
1.13E-04,0.876959761,1.05E-04,0.922598661,6.765950912,1.423792212,6.765950912,1.310160807
1.36E-04,0.879812192,1.26E-04,0.922598661,14.33477576,1.574016782,14.33477576,1.470496645
1.64E-04,0.882664623,1.52E-04,0.922598661,26.4191132,1.801761081,27.35595735,1.770945784
1.98E-04,0.885517055,1.84E-04,0.922598661,81.34360816,1.869169541,81.34360816,1.957282029
2.39E-04,0.888369486,2.22E-04,0.922598661,84.22812144,2.014097732,84.22812144,2.17443357
2.88E-04,0.891221917,3.22E-04,0.925451092,,,,
3.48E-04,0.894074348,3.89E-04,0.925451092,,,,
4.19E-04,0.89692678,4.69E-04,0.925451092,,,,
5.06E-04,0.899779211,0.010562879,0.948270542,,,,
6.97E-04,0.909561955,0.012742542,0.951122973,,,,
0.001052311,0.920636202,0.015371981,0.953975405,,,,
0.002579244,0.942784696,0.018544008,0.956827836,,,,
0.005896217,0.964933191,0.022370587,0.959680267,,,,
0.009100319,0.979377861,0.026986784,0.962532698,,,,
0.025992999,1.016728892,0.043952434,0.973942423,,,,
0.031356686,1.025286186,0.053022072,0.979647286,,,,
0.037827176,1.03384348,0.06396324,0.982499717,,,,
0.045632859,1.045253205,0.077162132,0.98820458,,,,
0.06046281,1.05666293,0.093084632,0.993909442,,,,
0.072939384,1.068072655,0.112292758,0.999614305,,,,
0.087990514,1.07948238,0.135464505,1.008171598,,,,
0.106147463,1.088039673,0.16341777,1.013876461,,,,
0.128051121,1.099449398,0.352648233,1.048105636,,,,
0.154474625,1.110859123,0.425417623,1.059515361,,,,
0.186350651,1.12512128,0.513203065,1.070925086,,,,
0.224804333,1.136531005,0.619103139,1.082334811,,,,
0.297862153,1.156498024,0.746855821,1.093744536,,,,
0.359326369,1.17076018,1.73727556,1.165055317,,,,
0.4334738,1.185022336,2.095764475,1.185022336,,,,
0.522921644,1.199284492,2.528228011,1.204989355,,,,
0.654945459,1.219251511,3.049930922,1.227808805,,,,
1.41334299,1.290562292,3.67928786,1.250628255,,,,
1.704988027,1.310529311,9.225400158,1.39895468,,,,
2.175891458,1.336201192,11.12907265,1.436036286,,,,
2.624889294,1.359020642,7.647358478,1.364725505,,,,
3.349861761,1.387544955,16.50265736,1.524461655,,,,
4.041109791,1.410364405,22.27983169,1.601477299,,,,
8.09009419,1.507347068,27.38628015,1.661378355,,,,
9.759494921,1.533018949,24.93424166,1.632854043,,,,
16.81516988,1.621444318,31.22947488,1.701312393,,,,
20.28500054,1.655673493,53.80697766,1.886720424,,,,
25.887548,1.701312393,58.00001477,1.918097168,,,,
34.69254134,1.764686427,83.16755949,2.081987682,,,,
52.37074134,1.842206157,,,,,,
70.0908515,1.919725887,,,,,,
83.16755949,1.960170963,,,,,,