p3htLoad,sigma,Seebeck,pf,thickness,zt
0,53.00260194,59.37098084,18.682958,190,0.018682958
0,53.82889525,42.25692931,9.611946317,190,0.009611946
0,52.59556829,42.57174958,9.532178135,190,0.009532178
0,54.46172985,70.69846309,27.22145766,190,0.027221458
5,12.85364504,24.9861121,0.802460512,190,0.000802461
5,15.52392247,52.63677546,4.301104735,190,0.004301105
5,14.89621226,32.91772447,1.61411868,190,0.001614119
5,14.59793531,78.5523452,9.007613554,190,0.009007614
10,40.40917664,85.19791112,29.33174463,190,0.029331745
10,40.0348994,72.81134998,21.22447264,190,0.021224473
10,38.81114397,89.22290016,30.89648795,190,0.030896488
10,40.33546752,70.73030378,20.17893037,190,0.02017893
15,47.1559575,100.7365807,47.85319931,190,0.047853199
15,47.32268278,44.32832666,9.298909742,190,0.00929891
15,47.60738224,62.6339026,18.67640345,190,0.018676403
15,49.8061912,73.45324192,26.87232655,190,0.026872327
30,23.55007487,101.8383039,24.42387719,190,0.024423877
30,26.20214205,102.0356676,27.27977709,190,0.027279777
30,26.27119839,97.89742239,25.17806778,190,0.025178068
30,24.77644538,86.68539055,18.61790542,190,0.018617905
50,7.702481478,103.7135671,8.285177283,190,0.008285177
50,6.513038402,122.5935067,9.788554764,190,0.009788555
50,7.222337553,106.3036814,8.161582813,190,0.008161583
50,6.626737396,69.80066369,3.228634364,190,0.003228634
70,4.974217608,134.8122689,9.040316112,190,0.009040316
70,5.288737849,121.9393041,7.863926851,190,0.007863927
70,5.737769273,107.2316391,6.597645386,190,0.006597645
70,4.86390323,124.3110122,7.516300441,190,0.0075163
100,0.126239792,137.3208508,0.238050578,190,0.000238051
100,0.13409286,117.6350549,0.185557783,190,0.000185558
100,0.164290268,128.6190563,0.271783118,190,0.000271783
100,0.152433972,148.336919,0.335413297,190,0.000335413
0,42.54088418,42.0575825,7.524802802,100,0.007524803
0,41.32896938,48.754831,9.824034665,100,0.009824035
0,40.6864148,43.32064173,7.635529956,100,0.00763553
0,41.39992764,29.88476171,3.697423325,100,0.003697423
5,13.3430862,72.28857867,6.97261464,100,0.006972615
5,12.12936685,71.87616772,6.266253474,100,0.006266253
5,14.01483675,67.00222783,6.291678609,100,0.006291679
5,12.90509521,79.31413597,8.118249751,100,0.00811825
10,51.97416479,88.08408791,40.32574899,100,0.040325749
10,50.85070688,80.05812664,32.59176207,100,0.032591762
10,50.50055038,106.99562,57.81334673,100,0.057813347
10,52.70869289,106.1357504,59.37527529,100,0.059375275
15,58.07382137,88.58747978,45.57483424,100,0.045574834
15,59.33258256,75.05667683,33.42503849,100,0.033425038
15,56.87772756,91.04688279,47.14899056,100,0.047148991
15,58.17904291,104.0515788,62.98888499,100,0.062988885
30,23.64875357,107.9639854,27.56551252,100,0.027565513
30,20.98183603,103.0933112,22.29997963,100,0.02229998
30,20.07876528,107.9712735,23.40741477,100,0.023407415
30,20.99821933,95.50288788,19.15205923,100,0.019152059
50,7.093826447,111.5871506,8.83301433,100,0.008833014
50,5.929986638,112.9132888,7.560383562,100,0.007560384
50,6.168532923,128.4845288,10.18318325,100,0.010183183
50,6.760441275,108.4804758,7.955696512,100,0.007955697
70,3.310791174,111.6794694,4.129319365,100,0.004129319
70,3.369901625,93.16929903,2.925249266,100,0.002925249
70,3.304769255,92.45849381,2.825106148,100,0.002825106
70,3.411571431,118.0396931,4.75346841,100,0.004753468
100,0.162387881,135.8849113,0.299844499,100,0.000299844
100,0.191265048,131.8992014,0.332751443,100,0.000332751
100,0.16112103,140.1413586,0.316435264,100,0.000316435
100,0.188110421,141.3101422,0.375629354,100,0.000375629
0,86.87657199,44.05073532,16.85811455,40,0.016858115
0,88.09943603,57.39002584,29.01656298,40,0.029016563
0,88.94365182,47.06403563,19.70122745,40,0.019701227
0,89.07789509,48.16747931,20.66701645,40,0.020667016
5,15.09605346,91.0425898,12.51274608,40,0.012512746
5,18.91878653,105.2581695,20.96065758,40,0.020960658
5,16.26405802,103.8765691,17.54947419,40,0.017549474
5,15.95467299,94.77497801,14.33096027,40,0.01433096
10,52.59922566,103.4258422,56.26489109,40,0.056264891
10,54.3983404,109.6947945,65.45723984,40,0.06545724
10,52.49277823,89.13654637,41.70721253,40,0.041707213
10,53.82468139,106.2904209,60.8092604,40,0.06080926
15,104.4491253,97.28099077,98.8463819,40,0.098846382
15,105.0753789,103.2764246,112.073608,40,0.112073608
15,103.403161,99.9203771,103.2385614,40,0.103238561
15,103.496827,78.16292297,63.23079166,40,0.063230792
30,31.39435406,116.8877013,42.89327309,40,0.042893273
30,32.99607536,105.4256401,36.67370439,40,0.036673704
30,34.01205136,118.0998795,47.43858598,40,0.047438586
30,32.02999537,109.0422566,38.08434906,40,0.038084349
50,2.492053474,134.2233098,4.489657841,40,0.004489658
50,2.484182969,123.2642626,3.774487089,40,0.003774487
50,2.483996318,152.1495637,5.750324725,40,0.005750325
50,2.522745333,145.3074926,5.326591952,40,0.005326592
70,3.665515038,156.1085893,8.932820435,40,0.00893282
70,3.678511817,133.1671126,6.523281527,40,0.006523282
70,3.654343983,139.8195002,7.144057084,40,0.007144057
70,3.72321925,157.0041251,9.177845399,40,0.009177845
100,0.192255264,131.0429823,0.3301458,40,0.000330146
100,0.243166756,148.6121984,0.537048018,40,0.000537048
100,0.229140385,140.2712417,0.450857108,40,0.000450857
100,0.108970447,139.9114384,0.213311944,40,0.000213312